iso,uptime_s,rss_kb,anon_kb,file_kb,swap_kb,threads,host_avail_mb
2026-09-03T17:33:52Z,214294,660868,126832,534036,0,17,3798
2026-09-03T17:34:52Z,214354,663768,126832,536936,0,17,3804
2026-09-03T17:35:52Z,214414,650276,126832,523444,0,17,3809
2026-09-03T17:36:52Z,214474,653168,126832,526336,0,17,3801
2026-09-03T17:37:52Z,214534,656064,126832,529232,0,17,3798
2026-09-03T17:38:53Z,214595,658960,126832,532132,0,17,3772
2026-09-03T17:39:53Z,214655,661856,126832,535024,0,17,3775
2026-09-03T17:40:53Z,214715,664756,126832,537924,0,17,3805
2026-09-03T17:41:53Z,214775,651264,126832,524436,0,17,3808
2026-09-03T17:42:53Z,214835,654164,126832,527332,0,17,3813
2026-09-03T17:43:53Z,214895,657064,126832,530232,0,17,3798
2026-09-03T17:44:53Z,214955,659956,126832,533124,0,17,3814
2026-09-03T17:45:53Z,215015,662856,126832,536024,0,17,3816
2026-09-03T17:46:53Z,215075,665752,126832,538920,0,17,3833
2026-09-03T17:47:53Z,215135,652268,126832,525436,0,17,3802
2026-09-03T17:48:53Z,215195,655168,126832,528336,0,17,3801
2026-09-03T17:49:53Z,215255,658064,126832,531232,0,17,3792
2026-09-03T17:50:53Z,215315,660964,126832,534132,0,17,3814
2026-09-03T17:51:53Z,215375,663860,126832,537028,0,17,3795
2026-09-03T17:52:53Z,215435,650376,126832,523544,0,17,3799
2026-09-03T17:53:53Z,215495,653268,126832,526436,0,17,3794
2026-09-03T17:54:54Z,215556,656164,126832,529332,0,17,3807
2026-09-03T17:55:54Z,215616,659060,126832,532228,0,17,3805
2026-09-03T17:56:54Z,215676,661960,126832,535128,0,17,3803
2026-09-03T17:57:54Z,215736,664864,126832,538032,0,17,3778
2026-09-03T17:58:54Z,215796,651376,126832,524544,0,17,3778
2026-09-03T17:59:54Z,215856,654272,126832,527440,0,17,3769
2026-09-03T18:00:54Z,215916,657176,126832,530344,0,17,3796
